word	ipa	russian_def	georgian_def
დიდა დო მუმა	dida do muma	родители; мать и отец	დედ-მამა
დიდაშ/ჲ-მაჸვილარი!	didaʃ/j-ma‘vilari	жалеть (кого-нибудь, что-нибудь) (букв. убийца матери)	დანანება (სიტყვასიტყვით დედის მკვლელი)
დიდასქუალობა	didaskualoba	отношения между матерью и сыном, дочерью	დედაშვილობა
დიდა-ღურელი	dida-ɣureli	словосочетание, выражающее чувство жалости к кому-нибудь	შეცოდების ფორმა (სიტყვასიტყვით დედამკვდარი) (букв. тот, у кого умершая мать)
დიდაჩაფილ/რი	didat͡ʃapil/ri	приемная мать	დედის მაგიერი, დედობილი
დიდაჸონერი см. დიდაჸონირი	dida‘oneri см. dida‘oniri		
დიდაჸონირი	dida‘oniri	мачеха	დედინაცვალი
დიდება	dideba	слава, величие	დიდება
დიდებუანი	didebuani	славный, великий	დიდებული
დიდებულო	didebulo	великолепно	დიდებულად
დიდი	didi	большой, огромный	დიდი, ვეებერთელა
დიდიკითი	didik'iti	большой палец	დიდი თითი
დიდ(ი) პატონეფი	did(i) p'at'onepi	оспа (болезнь)	ყვავილი
დიდკოჩური	didk'ot͡ʃuri	великосветский, господский	დიდკაცური
დიდპიჩვანი	didp'it͡ʃvani	великий пост	დიდი მარხვა
დიდხანიში	didxaniʃi	длительный, продолжительный	დიდი ხნის, ხანგრძლივი
დიდჸუჯამი	did‘ud͡ʒami	длинноухий, ушастый	დიდყურა, დიდყურიანი
დითა! см. დითუ!	dita см. ditu	удивления, горечи	ვაიმე!
დითუ! см. თითუ	ditu см. titu	ой! ай! смотри!	ვაი!
დიი см. ნდიი	dii см. ndii		
დიკი	dik'i	внизу, вниз	დაბლა, ქვევით
დიკო- (<დე/ი-კო-)	dik'o-(<de/i-k'o-)		
დი/ჷკო	di/ək'o	внизу	ქვევით
დიკოხ	dik'ox	вниз	დაღმა, ქვევით
დიკოხონი	dik'oxoni	спуск	დაღმართი
დიკოხონს	dik'oxons	вниз по спуску	დაღმართზე
დიკოხუშე	dik'oxuʃe	снизу	ქვევიდან
დიკუულა	dikuula	сходить (вниз), спускаться	ჩამოსვლა (ქვევით), დაშვება
დილა- (<დე/ი-ლა-)	dila- (<de/i-la-)		
დილანტირუა	dilant'irua	помещаться, поместиться	დატევა, ჩატევა
დილარინა	dilarina	стоять снаружи; стоять рядом	გვერდით დგომა; გარეთ დგომა
დილაცუ/ჷმა	dilacu/əma	сыпаться (внизу)	ჩამოცვენა 98 დ
დილმახორე см. დელმახორე	dilmaxore см. delmaxore		
დილულა	dilula	заход	ჩასვლა
დიმდარი	dimdari	богатый	მდიდარი
დინაბუმალი	dinabumali	то, что надо влить куда- то	ჩასასხმელი
დი/ჷნა(ნ)ჯირა	di/əna(n)d͡ʒira	1. лежавший 2. место, на котором лежали	ნაწოლი 2. დანაწოლი
დი/ჷნართინი	di/ənartini	возвращенный	დანაბრუნები; დაბრუნებული
დი/ჷნასქი/ჷლედი	di/ənaski/əledi	осадок	დანალექი, ნარჩენი
დი/ჷნაფა	di/ənapa	1. терять 2. пропадать	დაკარგვა
დი/ჷნაფილი	di/ənapili	потерянный; пропавший	დაკარგული
დი/ჷნახალე	di/ənaxale	внутрь	შიგ, შიგნით
დი/ჷნახალენი	di/ənaxaleni	внутренний, домашний	შინაური, შიგნითა
დინდარი	dindari	богатый	მდიდარი
დინი	dini	внутрь, внутри	შიგ, შიგნით
დინნაბიჯგეფი	dinnabid͡ʒgepi	место, где наступили; то, на что можно опираться, опора	ჩანაბიჯები; დასაყრდენი, დასაბრჯენი
დინო- (<დე/ი-ნო-)	dino- (<de/i-no-)		
დინო	dino	1. нутро 2. этногр. район расселения однофамильцев, опреде- ленной группы общины	შიგ, შიგნით 2. ერთი გვარის შიგნით დიდი პაპის შთამომავალი ჯგუფის განსახლების რაიონი
დინობარუა	dinobarua	дуть (внутри чего-либо сверху вниз)	ჩაბერვა
დინობუმა	dinobuma	влить, налить, (во что-либо)	ჩასხმა
დინოგაფა	dinogapa	вложить (в ножны, футляр)	ჩაგება (დ)ინოდგუ/ჷმა [(d)inodgu/əma] вставлять, вставить ჩადგმა
დინოდგუმუ: შურიში დინოდგუმუ	dinodgumu: ʃuriʃi dinodgumu	вставляющий, вкладывающий; оживляющий	ჩამდგმელი; სულის ჩამდგმელი
დინოთინაფა	dinotinapa	осмеливаться войти (внутрь)	შიგნით ჩასვლის გაბედვა
დინოკირტონუა	dinok'irt'onua	щипать внутри чего-либо	შიგნით კორტნა რამეში
დინოკორობუა	dinok'orobua	собирать (внутри)	ჩაკრება, ჩაგროვება (დ)ინოლაფა [(d)inolapa] падать (внутри чего-либо) ჩავარდნა
დინო(ნ)თი/ჷრაფა	dino(n)ti/ərapa	втягивать, затащить вниз	ჩათრევა
დინონთხაფა	dinontxapa	упасть (внутрь)	ჩავარდნა
დინო(ნ)ტირუა	dino(n)t'irua	вмещать(ся) (внутри)	ჩატევა
დინონტყოლუა см. ნტყოლუა	dinont'q'olua см. nt'q'olua		
დინონჯირა	dinond͡ʒira	лежать, лечь, ложиться (внутри чего-либо)	ჩაწოლა (დ)ინორინა [(d)inorina] находиться (внутри чего-либо), встать посреди (чего-либо) ჩადგომა
დინო(რ)ღვაფა	dino(r)ɣvapa	сыпать, засыпать (о многом)	ჩაყრა
დინორჩხუალა	dinort͡ʃxuala	вымыть (изнутри), смыть	ჩარეცხვა
დინორცუალა	dinorcuala	распадаться (внутри чего-либо)	რაიმეს რამეში ჩალევა, ჩაცვენა
დინოსოფუა	dinosopua	разорвать(ся) (внутри)	ჩაგლეჯა, ჩახევა (რამეში)
დინოსქილადა	dinoskilada	1. оставаться 2. застревать, застрять (внутри)	ჩარჩენა 2. შიგნით დარჩენა, გაჩხერა (რამეში)
დინოსქილადირი	dinoskiladiri	1. оставшийся 2. застрявший	ჩარჩენილი 2. გაჩხერილი
დინოსხაპუა	dinosxap'ua	прыгать (внутрь чего-либо), впрыгнуть (во что-либо)	ჩახტომა (შიგნით) (დ)ინოტე(ე)ბა [(d)inot'e(e)ba] оставлять (внутри) ჩატოვება
დინოტყობუა	dinot'q'obua	скрываться (внутри чего-либо); тайно, втихомолку идти вниз (туда)	ჩამალვა, მალვით (ჩუმად) ჩასვლა
დინოქოსუა	dinokosua	1. свалиться (во что-то) неожиданно 2. скатиться	მოულოდნელად რაიმეში ჩავარდნა 2. ჩაგორება, ჩაცვენა
დინოჩანაფა	dinot͡ʃanapa	совать, засунуть	ჩაყოფა (დ)ინოჭაბუა [(d)inot͡ʃ'abua] вклеить, вклеивать (внутрь и вниз) ჩაწებება (დ)ინოძახინი [(d)inod͡zaxini] звать (внутрь и вниз) ჩაძახება (შიგნით და ქვევით) (დ)ინოჭირინაფა [(d)inot͡ʃ'irinapa] передавать, передача (внутрь и вниз) ჩაწოდება (დ)ინოჯინა [(d)inod͡ʒina] 1. посмотреть (внутрь) 2. взглянуть, смотреть (в лицо) 1. ჩახედვა 2. შეხედვა (სახეში)
დინოჯირა см. დინონჯირა	dinod͡ʒira см. dinond͡ʒira		
დინოხ	dinox	внутрь	შიგნით
დინოხარჯუა	dinoxard͡ʒua	вкладывать (деньги), тратить	დახარჯვა
დინოხოხუა	dinoxoxua	вползать (во что-либо)	ჩახოხვა, ჩაძრომა 100 დ (დ)ინოხუნა [(d)inoxuna] садиться (внутри чего-либо) ჩაჯდომა
დინოხუშუა см. ხუშუა	dinoxuʃua см. xuʃua		
დინოჸოთამა	dino‘otama	вбрасывать (внутрь), кидать	ჩაგდება (დ)ინულა [(d)inula] опускаться, спуститься (внутрь и вниз) ჩასვლა
დიო	dio	пока	ჯერ
დიოდღარო	diodɣaro	по сей день, пока	ჯერ, ჯერჯერობით
დიო(რ)დე	dio(r)de	1. пока, еще 2. сначала, прежде	ჯერჯერობით 2. ჯერ; ჯერ კიდევ
დიოხოლო	dioxolo	все еще	ჯერ კიდევ
დირაკუა	dirak'ua	гнуть, сгибаться; искривляться	დრეკა, ღუნვა
დირაკილი	dirak'ili	кривой, согнувшийся	დრეკილი, გაღუნული
დირგონუა//დრიგონუა	dirgonua//drigonua	мчаться с шумом	ხმის გამოცემით სირბილი, დრიგინი
დირგუა	dirgua	бороться; столкнуться	დატაკება, დაჯახება
დირე//დჷრე	dire//dəre	опорная балка деревянного (дома)	დვირე, ხის სახლის ძელი დირიკუა//დიჷრჷკუა ср. დირაკუა: დირიკუნს, მოდირიკუ, იდირიკუუ(ნ) [dirik'ua//dərək'ua ср. dirak'ua: dirik'uns, modirik'u, idirik'uu(n)] сгибать> он сгибает; он согнул; он сгибается დრეკა > ის დრეკს, მან მოდრიკა (მოღუნა); ის იდრიკება (იღუნება)
დირფა//დჷრფა	dirpa//dərpa	зола (пылающая)	ღველფი
დირჩე//დჷრჩე см. ჯირჩე	dirt͡ʃe//dərt͡ʃe см. d͡ʒirt͡ʃe		
დიშალაფა	diʃalapa	впасть, падать (внутрь чего-либо)	ჩავარდნა
დიშანჯირა	diʃand͡ʒira	ложиться, лежать (внутри)	ჩაწოლა (შიგნით, შუაში)
დიშატე(ე)ბა	diʃat'e(e)ba	оставлять (внутри чего-либо)	ჩატოვება
დიშახოლაფა	diʃaxolapa	вмешать(ся), примешать, приместь	გარევა, ჩაბმა; ჩარევა
დიშაჯინა	diʃad͡ʒina	смотреть (вниз и внутрь)	ჩახედვა (შიგნით შუაში)
დიშქა	diʃka	дрова	შეშა
დიხა	dixa	1. земля 2. место	მიწა 2. ადგილი
დიხა(შ)ჲუშქური	dixa(ʃ)juʃkuri	груша (земляная)	მიწავაშლა
დიხა-ჭუბერი	dixa-t͡ʃ'uberi	род белой земли, употребляемый вместо мыла	თეთრი მიწა, რომელსაც ხმარობენ თავის დასაბანად საპნის ნაცვლად დო 1: ქომოლი დო ოსური [do: komoli do osuri] союз. и > мужчина и женщина do2- [do-] прост. прев.
დობაზაფა//დობაზუა	dobazapa//dobazua	1. бросать (о крупных предметах); удариться оземь 2. лупить	და > კაცი და ქალი 1. დახეთქება მიწაზე (დიდი საგნის) 2. მაგრად, დაუზოგავად ცემა
დობარდილი	dobardili	1. заслонённый 2. сплетенный (о растениях)	დაბარდული, ბარდით დაფარული 2. დახლართული, გადაწნული (მცენარეები)
დობერა	dobera	1. возвышенность 2. роща (на возвышенности) 3. участок (при- усадебный)	
დობინაფა ср. ბინა	dobinapa ср. bina	расквартировать	დაბინავება
დობირა см. დობერა	dobira см. dobera		
დობნება	dobneba	растеряться	დაბნევა
დობუმა	dobuma	наливать, налить, пролить	დასხმა, დაქცევა
დობუმირი	dobumiri	налитый, пролитый	დასხმული, დაქცეული
დოგაფა	dogapa	1. расстилать, стелить 2. вынимать из котла гоми	დობირა 2. სახნავ-სათესად გამოსაყენებელი ადგილი (შემაღლებულზე) 3. საკარმიდამო ადგილი 1. დაგება 2. ქვაბიდან ღომის ამოღება და დაგება ტაბლაზე
დოგი/ჷნძორუა	dogi/ənd͡zorua	1. продолжать 2. удлинять	გაგრძელება 2. დაგრძელება
დოგორუა	dogorua	искать, разыскивать	დაძებნა
დოგურაფა	dogurapa	научить(ся), выучить	დასწავლა
დოდაღილი	dodaɣili	с клеймом, заклейменный	დადაღული, დაღდასმული
დოდაღუა	dodaɣua	ставить клеймо	დადაღვა
დოდგინა	dodgina	1. установить, постановить; останавливать(ся) 2. перен. жить	დადგენა; გაჩერება 2. გადატ. ცხოვრება
დოდგუ/ჷმა	dodgu/əma	поставить	დადგმა
დოდვალა	dodvala	положить, класть (на что-либо)	დადება
დოდვალირი	dodvaliri	положенный (на что-либо)	დადებული
დოვალაფა	dovalapa	1. мигать (глазом) 2. качать, двигать	დახამხამება (თვალისა) 2. რხევა, ქნევა
დოზადაფა//აწოზადაფა	dozadapa//at͡sozadapa	встречать, встретить	დახვედრა, შეხვედრა 102 დ
დოზეპუა	dozep'ua	1. валяться (массой) 2. лупить, бить	დაყრა, დაცვენა (ბევრის ერთად) 2. მაგრად ცემა
დოზოჯუა	dozod͡ʒua	изволить сесть	დაბრძანება
დოზოჯით!	dozod͡ʒit	извольте сесть; садитесь!	დაბრძანდით!
დოზუკოლებული	dozuk'olebuli	наставленный	დარიგებული
დოთირუა	dotirua	поменяться, заменить	შეცვლა
დოთქვაფუა	dotkvapua	1. взбивать 2. лакать	ათქვეფა 2. თქვლეფა
დოთხინაფა	dotxinapa	1. отделять, удалять 2. отпускать; впустить, впускать 3. перен.	ჩამოცილება, ჩამოშორება 2. გათავისუფლება, покидать შეშვება 3. გადატ. მიტოვება
დოკვათილი	dok'vatili	1. нарезанный 2. перен. назначенный (время)	დაჭრილი 2. გადატ. მოკვეთილი, დანიშნული (დრო)
დოკვათუა	dok'vatua	1. нарезать 2. перен. назначить (время)	დაჭრა, დაჭდევა 2. გადატ. დროის დანიშნვა
დოკვანწილი	dok'vant͡sili	прибранный	კოხტად დალაგებული, მილაგ-მოლაგებული (დო)კვანწუა см. კვანწუა [(do)k'vant͡sili см. k'vant͡sua]
დოკითხუა	dok'itxua	допрашивать; допрос	დაკითხვა
დოკილუა	dok'ilua	запирать, закрыть	დაკეტვა
დოკინა//დოკჷნა см. კინა2//კჷნა	dok'ina//dok'əna см. k'ina//k'əna		
დოკირილი//დოკჷრილი	dok'irili//dok'ərili	привязанный	დაბმული
დოკირუა//დოკჷრუა	dok'irua//dok'ərua	привязывать, привязать	დაბმა
დოკორობუა	dok'orobua	собирать	შეგროვება, შეკრება
დოკუ/ჷა	dok'u/əa	тянуть (вниз); брать, взять	წევა, ზიდვა (ქვევით); აღება
დოკუნტუა	dok'unt'ua	скорчиться	დაკუტვა, დაკრუნჩხვა
დოლასირუა	dolasirua	1. растирать 2. точить	გალესვა 2. მახვა, წამავხა (დანის)
დოლასუა см. ლასუა	dolasua см. lasua	мешать	ხელის შეშლა; ჩაშლა
დოლაფა	dolapa	падать	დავარდნა
დოლაფირი	dolapiri	упавший	დავარდნილი
დოლახაფა	dolaxapa	1. заболеть 2. сделаться больным	ავად გახდომა 2. დაავადმყოფება
დოლება	doleba	обходить (напр., дозором); обыскивать	დავლა, დათვალიერება; გაჩხრეკა
დოლიება см. ლიება	dolieba см. lieba	1. обыскивать, обыскать (место) 2. окончить	დავლა, გაჩხრეკა (ადგილის) 2. გათავება, დალევა
დოლმახორე//დელმახორე	dolmaxore//delmaxore	прислуга (иметь собственного хозяина)	შინაყმა, მონა
დოლო	dolo	луг	მდელო
დოლუაფა1	doluapa	шарить	ქექვა, ხელის ცეცება (რამეში), ფათური
დოლუაფა2	doluapa	вонзать, воткнуть, вонзиться	შესობა, შერჭობა (რისამე, მაგ., დანის)
დომახვამილაფარი	domaxvamilapari	встречающий (посредством кем-либо)	დამახვედრებელი, დამხვედრ(ელ)ი
დომახუაფალი	domaxuapali	опрокидывающий, разоряющий; разрушитель	დამამხობელი (თავდაღმა); გამანადგურე-ბელი
დომუნაფა	domunapa	пасмурно (становиться)	მოღრუბვლა
დონაბიმა см. დონაბუმა	donabima см. donabuma	пролитый	დანაღვარი, დაღვრილი
დონაბუმა	donabuma	вылитый, пролитый	გადანასხამი, გადანაღვარი
დონახვენჯი	donaxvend͡ʒi	насиженное (место) (	და)ნაჯდომი
დონგ(ვ)ი	dong(v)i	горчица	მდოგვი
დონგი	dongi	репа (горькая)	თალგამი
დონთხაფა	dontxapa	падать; упасть	დაცემა
დონთხაფილი	dontxapili	упавший	დაცემული, წაქცეული
დონთხორუა	dontxorua	1. закапывать, закопать 2. похоронить	დათხრა, ჩაფვლა 2. დამარხვა
დონტირუა см. ნტირუა	dont'irua см. nt'irua	вместить, вмещать	დატევა
დონწყუალა1	dont͡sq'uala	1. выстраивать (в ряд) 2. прибирать (дом)	დაწყობა (რიგში) 2. მიწყობა, მილაგება (სახლისა)
დონწყუალა2	dont͡sq'uala	1. (по)тонуть; утонуть; погружение 2. обрушиться, провалиться	ჩაძირვა 2. ჩამოშვავება, ჩამოქცევა
დონწყვილი	dont͡sq'vili	1. рухнувший; провалившийся (в пропасть) 2. пропасть	ჩაძირული, ჩაშვავებული 2. ჩამოქცეული; უფსკრული
დონჭირა см. (ნ)ჭირა	dont͡ʃ'ira см. (n)t͡ʃ'ira	нажать; затянуть	დაჭერა; მოჭერა (რისამე)
დო(ნ)ჯირა см. (ნ)ჯირა	do(n)d͡ʒira см. (n)d͡ʒira	ложиться, прилечь	დაწოლა; მიწოლა
დო(ნ)ჯირელი	do(n)d͡ʒireli	лежащий	დაწოლილი
დოპეიჯუა	dop'eid͡ʒua	приглашать; приглашение	დაპატიჟება 104 დ
დორაბადელი	dorabadeli	нагромажденный, усыпанный (плодами)	დაფარული, დახუნძლული (ნაყოფით)
დორაგვაფა	doragvapa	повалить, свалить	წაქცევა
დორაგვაფილი	doragvapili	поваленный, сваленный	წაქცეული
დორაწკილი	dorat͡sk'ili	построенный (в строй)	დამწკრივებული (რიგში)
დორგინაფა	dorginapa	валиться, скатиться	დაგორება, ჩაგორება (ბევრისა)
დორზამა	dorzama	разжигать	დანთება, გაჩაღება (ცეცხლის)
დორზამილი	dorzamili	разожженный	დანთებული, გაჩაღებული (ცეცხლი)
დორთა	dorta	возвращаться, возвращение	დაბრუნება, მობრუნება
დორთელი	dorteli	возвращенный, вернувшийся, повернувшийся	დაბრუნებული, მობრუნებული
დორინა	dorina	1. быть, пребывать 2. стоять	ყოფნა 2. დადგომა
დორინაფა	dorinapa	1. (по)ставить 2. остановить	დაყენება 2. დადგომა, გაჩერება
დორულაფა	dorulapa	засыпать	დაძინება
დორუმაფილი	dorumapili	затемненный; перен. разгромленный, опустошенный	დაბნელებული; გადატ. განადგურებული, გატიალებული, მოოხრებული
დო(რ)ფა//დოფა см. დირფა	do(r)pa//dopa см. dirpa	зола (тлеющая)	ღადარი, ღველფი
დორქება	dorkeba	1. махать 2. моргать (глазом) 3. веять, качнуть, махнуть	დაქნევა 2. დახამხამება (თვალის) 3. დანიავება, ქროლვა, შერხევა
დორღვაფა	dorɣvapa	1.насыпать 2. перен. щениться (собаке, свинье)	დაყრა 2. გადატ. დაყრა (ლეკვების, გოჭების)
დორღვაფილი	dorɣvapili	насыпанный	დაყრილი
დორშვილი	dorʃvili	1. сотканный 2. очень распространенный	დაქსელილი 2. მოდებული, ძალზე გავრცე-ლებული
დორჩაფა	dort͡ʃapa	настилать, постелить, постилать (постель)	დაგება, დარეცვა, დაფენა
დორჩაფილი	dort͡ʃapili	настеленный; постеленный	დაგებული, დარეცილი, დაფენილი
დორჩელი	dort͡ʃeli	постеленный	დაგებული, გაშლილი (ლოგინი)
დორჩინაფა	dort͡ʃinapa	1. состариться 2. состарить	დაბერება 2. მოხუცება
დორჩინაფილი	dort͡ʃinapili	состарившийся, старик	დაბერებული, მოხუცებული
დორჭიპილი	dort͡ʃ'ip'ili	натянутый, нагруженный	დაჭიმული; დატვირთული
დორხველო	dorxvelo	собственно; полностью	საკუთრად; მთლიანად
დოსერუა	doserua	наступать (о ночи)	დაღამება
დოსვანჯაფირი	dosvand͡ʒapiri	1. кому дали отдохнуть, отдохнувший 2. покоящаяся, поставлен- ная (икона) (И. Кипш.) 3. покоящийся (о покойнике)	დასვენებული 2. დასვენებული (ხატი) (ი.ყიფშ.) 3. განსვენებული (ცხედარი)
დოსვანჯირი	dosvand͡ʒiri	отдохнувший	დასვენებული
დოსორგილი см. სორგილი	dosorgili см. sorgili		
დოსოფილი	dosopili	порванный, изорванный	დაგლეჯილი, დაფლეთილი, დახეული
დოსოფუა	dosopua	изорвать; оборвать	დაგლეჯა, დაფლეთა
დოსქი/ჷლადა	doski/əlada	1. оставаться 2. вылечиться	დარჩენა 2. მორჩენა, განკურნება
დოსქი/ჷლადირი	doski/əladiri	1. оставшийся 2. остаток 3. излеченный	დარჩენილი 2. ნარჩენი 3. განკურნებული, მორჩენილი
დოსხაპუა	dosxap'ua	спрыгивать; прыгнуть (на что-нибудь)	დახტომა
დოტება	dot'eba	оставлять, покинуть	დატოვება
დოტყობუა	dot'q'obua	прятаться, утаивать	დამალვა
დოუჩორუა	dout͡ʃorua	чернеть	გაშავება
დოფაცუა	dopacua	задеть (рукой), прикоснуться	მიკარება, ხელის ცეცება (შეხება)
დოფერცხელი	dopercxeli	кувыркаться, валяться	გაკოტრიალება, გორაობა, კოტრიალი; ყირაზე გადასვლა
დოფიცოლუა	dupicolua	мельчать, крошить	წვრილად დაჭრა, დანამცეცება
დოქანცაფა	dokancapa	пошевелить(ся)	ოდნავ გაქანება, განძრევა, შერხევა
დოქოსუა	dokosua	1. подметать 2. перен. уничтожать, истреблять	გახვეტა 2. გადატ. გაქრობა, განადგურება
დოღვინჭუა	doɣvint͡ʃ'ua	связать туго, скрутить	დაბღუჯვა, შებოჭვა, შეკვრა
დოღუზუა см. ღუზუა2	doɣuzua см. ɣuzua	изгибать, опускать (вниз), нагнуться	დახრა, დაღუნვა (დაბლა)
დოღუზილი	doɣuzili	нагнутый, опущенный (вниз), согбенный, согнутый	დაღუნული, დახრილი, ჩამოზნექილი
დოღუპილი	doɣup'ili	погибший	დაღუპული
დოყვაყვირი	doq'vaq'viri	промокший, мокрый до ниточки	ძალზე დასველებული, გაწუწული 106 დ
დოყურწილი	doq'urt͡sili	увешанный плодами (о дереве)	დახუნძლული, კარგად მოსხმული (ხეხილი)
დოშურუა	doʃurua	обнюхивать	დაყნოსვა
დოშქვიდაფა	doʃkvidapa	задушить; топить, потопить, утопить; утонуть	დახრჩობა
დოშქუმალა	doʃkumala	1. опускать (вниз) 2. втыкать, воткнуть	დაშვება (ძირს) 2. დარჭობა, დასობა
დოჩანაფა	dot͡ʃanapa	1. натыкать, совать, сунуть 2. нагнуть, наклонить (голову)	დასობა, დარჭობა; ჩაყოფა 2. დახრა (თავის)
დოჩანაფილი	dot͡ʃanapili	1. посаженный, насаженный 2. наклоненный (вниз)	დარგული (მცენარეულის ნერგი) 2. დახრილი (ძირს)
დოჩარქალაფა см. ჩარქალი	dot͡ʃarkalapa см. t͡ʃarkali		
დოჩემუა	dot͡ʃemua	1. упрямство; упрямиться 2. притязать	ჯიუტობა 2. დაჩემება
დოჩილითაფა	dot͡ʃilitapa	1. промахнуться 2. увернуться	აცდენა, დაცილება 2. თავის დაღწევა, თავის აცილება
დოჩინა см. ჩინა	dot͡ʃina см. t͡ʃina	1. завещать 2. поручить	დაბარება 2. დავალება, მინდობა
დოჩინელი	dot͡ʃineli	1. завещанный 2. порученный	დაბარებული 2. დავალებული
დოჩოქებული	dat͡ʃokebuli	коленопреклоненный	დაჩოქებული
დოჩოქებულო	dot͡ʃokebulo	коленопреклоненно	დაჩოქებულად
დოჩოქინელო см. დოჩოქებულო	dot͡ʃokinelo см. dot͡ʃokebulo		
დოცუმა//დოცჷმა	documa//docəma	сыпаться (вниз)	დაცვენა (დაბლა)
დოცუმილი//დოცჷმილი	documili//docəmili	посыпавшийся, насыпавшийся, посыпанный	დაცვენილი, ჩამოცვენილი; დაყრილი
დოძონძილი	dad͡zond͡zili	измочаленный	დაძენძილი
დოწამალუა см. მოწამალუა	dot͡samalua см. mot͡samalua	1. отравлять (интенсивно), потравить; травить 2. исчезать	მოწამლვა 2. გაქრობა, გაქცევა (მეყსეულად) (мгновенно)
დოწკარუა	dot͡sk'arua	выстраивать (в порядке)	დაწყობა (რიგად)
დოწკიდირი	dot͡sk'idiri	разложенный, уложенный	კოხტად დალაგებული, დაწყობილი
დოწკიდუა	dot͡sk'idua	аккуратно раскладывать, разложить	კოხტად დაწყობა, დალაგება
დოწკუ/ჷმო(ნ)ტუა	dot͡sk'u/əmo(n)t'ua	закрутить, накручивать	დაგრეხა, დახვევა
დოწუ/ჷმა	dot͡s/əuma	проливаться, пролить	დაქცევა, დაღვრა
დოწუ/ჷმირი	dot͡su/əmiri	пролитый, разлитый	დაქცეული, დაღვრილი
დოწუნაფილი	dot͡sunapili	забракованный	დაწუნებული
დოჭვილი	dot͡ʃ'vili	испеченный, погорелый	დამწვარი
დოჭირაკილი	dot͡ʃ'irak'ili	морщинистый, сморщенный	დანაოჭებული, ნაოჭებიანი; დამჭკნარი
დოჭირაკუა	dot͡ʃ'irak'ua	морщить(ся), увядать; мять; хмуриться	დანაოჭება, დაჭკნობა, დაჭმუჭნა; კოპების შეკვრა
დოჭოფილი	dot͡ʃ'opili	взятый, задержанный	დაკავებული, დაჭერილი
დოჭუა	dot͡ʃ'ua	поджаривать, печь	შეწვა
დოჭყაფა	dot͡ʃ'q'apa	начинать	დაწყება
დოჭყაფილი	dot͡ʃ'q'apili	начатый	დაწყებული
დოხაზირუა	doxazirua	готовить, приготавливать, приготовить	მომზადება
დოხარგუა	doxargua	нагружать	დატვირთვა, ტვირთის დადება
დოხაშუა	doxaʃua	сварить	მოხარშვა
დოხვალამა	doxvalama	встречать, встретить, приветствовать (пришедшего)	დახვედრა, შეგებება
დოხვამილაფა	doxvamilapa	встречать	დახვედრება, დახვდომა
დოხვამუა	doxvamua	благословлять	დალოცვა
დოხვერი //დოხვირი	doxveri//doxviri	1. опрокинутый (вниз) 2. понурый	დაპირქვავებული, დამხობილი 2. თავ-ჩაქინდრული
დოხვილირი	doxviliri	1. заключенный 2. лужа, запруда	დამწყვდეული 2. გუბე, ტბორი
დოხვილუა	doxvilua	1. заточить, заточение, заключать 2. запрудить	დამწყვდევა, დაპატიმრება 2. დაგუბება
დოხინწუა	doxint͡sua	скопить, собрать вместе и уносить целиком	ერთად დაგროვება (ბევრისა), შექუჩება და წაღება
დოხო	doxo	без, менее (	მანათიში დოხო – меньше рубля) ნაკლები (მანეთზე ნაკლები)
დოხოდი	doxodi	садись! сядь!	დაჯე(ქი)!
დოხოლაფა	doxolapa	приближаться, сблизить(ся)	დაახლოება
დოხორე	doxore	дворец	სასახლე
დოხუაფა	doxuapa	опрокидывать	გადაპირქვავება, დამხობა
დოხუაფილი	doxuapili	опрокинутый, перевернутый (вниз головой)	დამხობილი (თავდაღმა), გადაპირქვავებული, გადაბრუნებული
დოხუნა	doxuna	садиться	დაჯდომა 108 დ
დოხუნაფა	doxunapa	сажать	დასმა
დოხუნაფილ//რი	doxunapil//ri	посаженный	დასმული
დოჯგვაჯგვაფა	dod͡ʒgvad͡ʒgvapa	рухнуть (о тяжелом)	დანარცხება (მძიმედ)
დოჯერება	dod͡ʒereba	послушаться; (по)верить, убедить, уверять	დაჯერება
დოჯირა	dod͡ʒira	укладывать (об одушевленном)	დაწვენა
დოჯორგილი	dod͡ʒorgili	очень загруженный, нагруженный	დატვირთული (ძალიან)
დოჯღარკაფა	dod͡ʒɣark'apa	падать (с сухим треском)	ხმის გამოცემით (ჭახანით) დაცემა
დოჸია	do‘ia	курочка	ვარია
დოჸოთამა	do‘otama	1. свалить 2. мигать, подмигнуть	დაგდება, წაქცევა 2. ჩაკვრა (თვალის)
დოჸუნაფა	do‘unapa	1. доводить 2. соглашаться	დაყვანა 2. დაყოლიება, მორიგება, შეთანხმება
დოჸურშ/ჩელი (ქოთომი)	do‘urʃ/ t͡ʃeli (kotomi)	притихшая, уснувшая (курица)	ჩაძინებული, მიყუჩებული ქათამი
დოჸურშ/ჩუა	do‘urʃ/t͡ʃua	1. присесть 2. притихнуть (о птицах)	ჩაქუქვა 2. მიყუჩება, მიჩუმება (იტყვიან ფრინველებზე)
დოჸუცინერი	do‘ucineri	присевший (на корточки)	ჩაქუქული, ჩაცუცქული; დაყუნცული
დრო см. რდო	dro см. rdo	время	დრო
დროგი	drogi	дрожки	დროგი
დრო დო ხანი	dro do xani	время	დრო და ხანი
დრუბენტი см. დურბინტი	drubent'i см. durbint'i	бинокль	დურბინდი
დუ- см. დი-, დო-	du- см. di-, do		
დუდამი	dudami	с головой, головастый	თავიანი
დუდელი	dudeli	колос	თავთავი
